value,count
Men,55404
Women,37600
Portraits,26855
Flowers,18408
Birds,8378
Actresses,7038
Athletes,6884
Trees,6725
Leaves,6286
Human Figures,6033
Profiles,5917
Landscapes,5671
Dresses,5542
Baseball,5441
Architecture,4980
Animals,4592
Buildings,4540
Horse Riding,3652
Houses,3374
Horses,3334
Dogs,3332
Female Nudes,3321
Boats,3210
Coat of Arms,3024
Carriages,2885
Actors,2797
Boys,2629
Heads,2574
Christ,2544
Abstraction,2432
Girls,2415
Soldiers,2368
Books,2322
Ornament,2264
Angels,2165
Satire,2150
Saints,2089
Children,2048
Lions,2023
Male Nudes,1936
Interiors,1738
Mountains,1721
Hieroglyphs,1701
Faces,1687
Ships,1598
Musical Instruments,1592
Dragons,1526
Virgin Mary,1456
Fish,1419
Swords,1361
Flags,1347
Rivers,1256
Plants,1187
Bridges,1179
Cities,1151
Infants,1145
Scarabs,1102
Working,1050
Madonna and Child,1048
Cross,1036
Buddhism,1016
Deer,1015
Putti,997
Streets,935
Fruit,902
Crowd,889
Ruins,875
Butterflies,869
Kings,867
Dancing,850
Sculpture,832
Eagles,820
Cupid,797
Weapons,785
American Civil War,743
Musicians,742
Funerary Objects,719
Street Scene,719
Cows,717
Dancers,698
Satyrs,695
Cars,692
Playing Cards,690
Reading,690
Churches,686
Mythical Creatures,674
Chairs,672
Jesus,670
Firearms,655
Cats,648
Insects,647
Boxing,638
Mirrors,636
Bulls,630
Cuneiform,623
Crucifixion,610
Masks,609
Battles,603
Moon,601
Cinema,594
Couples,586
World War I,585
Roses,561
Smoking,547
Snakes,541
Tables,533
Gardens,530
Military,526
Grapes,525
Hands,524
Games,514
Elephants,511
Shields,504
Death,501
Goddess,500
Saint John the Baptist,490
Fans,485
Buddha,478
Monkeys,473
Vases,473
Hunting,466
Cartouches,466
Robes,465
Queens,462
Bow and Arrow,461
Peacocks,459
Stage Design,459
Sheep,455
Still Life,444
Sleeping,441
Bodhisattvas,436
Temples,433
Roads,432
Chariots,430
Drinking,427
Hills,415
Snow,414
Goats,412
Self-portraits,409
Politics,408
Roosters,404
Food,403
Chess,402
Costumes,397
Seals,384
Venus,383
Skeletons,382
Ducks,382
Correspondence,377
Rabbits,376
Fountains,375
Donkeys,373
Columns,372
Windows,372
Beds,371
Spears,369
Ceremonial Objects,367
Generals,363
Poetry,363
Insignia,361
Garlands,356
Mothers,354
Fashion,352
Towers,351
Documents,345
Arches,344
Cranes,342
Calligraphy,335
Paris,332
Rome,328
Coins,327
Coptic,327
Artists,326
George Washington,325
Gandhara,324
Forests,317
Arabic,315
Weights and Measures,315
Mary Queen of Scots,314
Hats,312
Fishing,309
Skulls,308
Sphinx,306
Tombs,305
Suffering,292
Towns,290
Painting,285
Waterfalls,284
Hercules,284
Monuments,284
Holy Family,284
Playing,283
Griffins,283
Demons,282
Shakespeare,275
Ceilings,271
Castles,270
Signs,270
Cannons,267
Venice,267
Tigers,267
Apostles,266
Writing,263
Palaces,261
Shepherds,259
Furniture,258
Beaches,256
Camels,256
Caricature,254
Spectators,254
Gates,253
Lakes,249
Swans,247
Music,247
Waves,246
Sadness,244
Frogs,244
Clouds,240
Tents,239
Parks,238
Owls,236
Nymphs,234
Rams,232
Sports,228
Family,228
Apollo,226
Fire,226
London,225
Theatre,225
Dining,224
Fireplaces,224
Seascapes,223
Railways,222
Chinoiserie,222
Armor,222
Hinduism,221
Flutes,220
Bamboo,220
Bathing,220
Helmets,219
Mary Magdalene,218
Lotuses,218
Bowls,216
Boars,214
Deities,214
Vines,213
Bears,212
Doors,211
Trains,211
Annunciation,210
Eros,208
Boxes,206
Incense Burners,205
Altars,203
Shells,201
Jockeys,199
Maps,197
Villages,196
Drums,196
Jainism,196
Wreaths,195
Serpents,195
Bedrooms,193
Saint Peter,193
Dishes,192
Factories,191
Pendants,191
Canals,189
Subways,185
Turtles,184
Pigs,182
Bats,182
Feet,180
Planes,180
Dolphins,180
Chickens,179
Doorways,177
Cups,176
Adoration of the Magi,174
Napoleon I,173
Foxes,173
Industry,172
Carts,171
Night,170
Centaurs,170
Saint Paul,169
Army,169
Eyes,168
Grotesques,168
Violins,168
Parrots,168
Urns,168
Navy,168
Servants,166
Nativity,164
Eve,164
Adam,163
Saint John the Evangelist,161
Advertisements,161
Farms,159
Peonies,157
Prisons,155
Jars,155
Monks,153
Ladders,153
Princes,152
Falcons,148
Stars,147
Ballet,147
Winter,147
Tools,146
Saint Jerome,146
Walking,144
Cabinets,144
Warriors,144
Hotels,143
Dance,143
Writing Implements,142
Diana,142
Axes,141
Obelisks,141
Stairs,141
Lovers,140
Sun,140
Bacchus,140
Bishops,139
Museums,137
Crocodiles,135
Shoes,135
Benjamin Franklin,134
Saint Joseph,134
Necklaces,134
Bracelets,133
Swimming,133
Clocks,133
Saint Catherine,131
Jupiter,131
Markets,130
Mice,129
Dolls,129
Leopards,129
