,value,count
0,specimen,2281
1,print,1836
2,photograph,1589
3,spectacles,952
4,album - book,874
5,amulet,767
6,silver gelatin print,497
7,unguentarium,456
8,statue,422
9,probe,370
10,trade card,361
11,Surgery,305
12,Treatments and cures,295
13,Belief and medicine,284
14,flask,280
15,Practising medicine,269
16,pin - fastener,251
17,spectacle case,248
18,oil painting,225
19,portrait,221
20,Medical traditions,210
21,replica,207
22,spatula,184
23,nose spectacles - pince nez,180
24,needle - piercing tool,174
25,Technology and medicine,168
26,forceps,163
27,scoop,139
28,necklace,132
29,sun-glasses,132
30,knife,131
31,ear cleaner,127
32,pendant,121
33,spoon,117
34,amulet case,111
35,cupping vessel,109
36,phallus,108
37,hand spectacles - lorgnette,105
38,photographs,97
39,Diseases and epidemics,92
40,caricature,92
41,machines,91
42,bottle,91
43,component - object,90
44,cautery,86
45,"ethnography, customs and beliefs",86
46,votive foot,81
47,figure - representation,77
48,oculist's seal,77
49,dentistry,75
50,ophthalmology,74
51,artery forceps,73
52,cupping glass,73
53,stamp - mark,72
54,depilatory tweezers,72
55,bleeding bowl,71
56,surgery,70
57,cupping set,69
58,plaque,69
59,ring - jewellery,68
60,Public health,66
61,jar,66
62,War and medicine,64
63,cup,64
64,Diagnosing illness,63
65,votive offering,62
66,Birth and death,61
67,Understanding the body,60
68,dental forceps,60
69,director - surgical instrument,54
70,stylus,54
71,illustration,53
72,therapeutics,53
73,Classical & Medieval Medicine,52
74,hand spectacles,52
75,seal impression,50
76,votive phallus,50
77,tool,50
78,votive head,49
79,comb - grooming tool,49
80,lithotomy staff,49
81,letter - correspondence,48
82,strigil,47
83,surgical instrument set,45
84,The medical marketplace,44
85,instrument,44
86,amputation,44
87,bloodletting,44
88,photogravure,44
89,Assistive technologies,43
90,feeding bottle,43
91,hairpin,42
92,bracelet,42
93,surgical instrument,42
94,Contacting the spirits,42
95,circumcision knife,41
96,bead - pierced object,41
97,jug,40
98,votive uterus,39
99,foot scraper - body rasp,39
100,container - receptacle,38
101,lancets,37
102,votive viscera,36
103,Science and medicine,36
104,retractor,34
105,spectacle frame,33
106,engraving,32
107,arrowhead,32
108,single eyeglass - quizzing,31
109,cigarette card,31
110,sketches,30
111,artefact,30
112,votive eye,30
113,printed ephemera,29
114,lithograph,29
115,enema funnel,29
116,Hospitals,29
117,medal,28
118,cupping horn,28
119,Organised religion,28
120,watercolour,27
121,catheter,27
122,medicine man equipment,27
123,surgical knife,24
124,pince-nez,24
125,case - container,24
126,bowl,24
127,base - object component,23
128,Looking after yourself,23
129,protective spectacles,23
130,amputation saw,23
131,plague,22
132,optometry,22
133,oil lamp,22
134,anaesthetic,22
135,trocar,21
136,votive child,21
137,tooth pulling,21
138,prostheses,21
139,poster,21
140,electrotherapy,20
141,bust,20
142,watercraft,20
143,aquatint,20
144,ear-distender,20
145,nose spectacles - bow,20
146,diabetes,20
147,phial,19
148,votive mother,19
149,classical and medieval medicine,19
150,divination,19
151,hypodermic syringe,19
152,metallurgy,19
153,Physical methods,19
154,printing and writing,19
155,ladle,18
156,gorgets,18
157,tourniquet,18
158,trephine,18
159,abscess knife,18
160,barkcloth beater,18
161,electrostatic machine,18
162,hygiene,18
163,oil painting - visual work,18
164,armlet,17
165,mortar,17
166,votive breast,17
167,"Travel, faith and healing",17
168,weights,17
169,diagram,17
170,belt,16
171,The Black Death and early public health measures,16
172,handle,16
173,horn,16
174,Public Health & Hygiene,16
175,insulin,16
176,mummification,16
177,votive face,16
178,drawing - visual work,16
179,coin,16
180,advertisement,16
181,gynaecology,16
182,contact lens,15
183,Controversies and medicine,15
184,rattle,15
185,astronomy,15
186,model - representation,15
187,Using the senses in medical diagnosis,15
188,watercolors,15
189,figurine,15
190,Transplant surgery,15
191,ophthalmic lens,15
192,antisepsis,15
193,ophthalmic knife,15
194,ophthalmoscope,14
195,trephination,14
196,shard,14
197,abscess lancet,14
198,divination bowl,14
199,circumcision clamp,14
200,doll,14
201,denture,14
202,tonsil guillotine,14
203,chisel,14
204,artwork,14
205,first aid,14
206,votive female figure,14
207,biomedicine,13
208,relief,13
209,horseshoes (animal equipment),13
210,toothache,13
211,water pipe,13
212,mortuary cross,13
213,votive infant,13
214,brooch,13
215,ecraseur,13
216,bone elevator,13
217,chromolithograph,13
218,nose-pin,13
219,printing press,13
220,enema,13
221,drawings,12
222,patron saint,12
223,breast reliever,12
224,hand spectacles - scissor,12
225,surgical saw,12
226,juglet,12
227,pages,12
228,scalpel,12
229,perfume bottle,12
230,cosmetic applicator,12
231,syringe,12
232,shears - cutting tool,11
233,Drugs: ideas and traditions,11
234,fertility,11
235,necklet,11
236,divination-tablet,11
237,funnel,11
238,enema syringe,11
239,bone saw,11
240,earring,11
241,saint,11
242,conjoined twins,11
243,votive figure,11
244,razor,11
245,first aid kit,11
246,blade - tool and equipment component,10
247,bone plate,10
248,tweezers,10
249,Pain and cleanliness,10
250,cholera,10
251,Identity,10
252,suture,10
253,etching,10
254,rheumatism,10
255,Photography,10
256,cannula,10
257,components,10
258,probang,10
259,prints,10
260,fracture,10
261,mezzotint,10
262,fossil,10
263,linecasting machines,10
264,dental key,9
265,toothbrush,9
266,bangle,9
267,ligula,9
268,surgical hook,9
269,inhaler,9
270,box - container,9
271,obstetrics,9
272,Technology transforms diabetes,9
